epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4391,1.27104,2.90477,1.31027,0.92327,0.21429,0.33093,0.2408,1.01229,2.84035,1.13031,0.00026672,0.00026672,0.00026672
2,26.8064,1.01723,1.1645,1.10628,0.91468,0.28076,0.40256,0.29802,0.96137,2.52658,1.04905,0.000543302,0.000543302,0.000543302
3,38.8232,0.93781,0.92135,1.05816,0.84128,0.28418,0.51371,0.35769,1.0575,2.32799,1.11473,0.000812871,0.000812871,0.000812871
4,51.5506,0.92533,0.88341,1.05939,0.54108,0.41055,0.44272,0.32505,1.03586,2.08096,1.12429,0.00107543,0.00107543,0.00107543
5,64.2227,0.90324,0.82861,1.05122,0.804,0.5103,0.69963,0.51086,1.03149,1.84752,1.10792,0.00133097,0.00133097,0.00133097
6,76.5168,0.90972,0.81515,1.04844,0.81462,0.73281,0.80777,0.58537,0.99196,1.20949,1.08838,0.00156385,0.00156385,0.00156385
7,88.5275,0.92026,0.78834,1.04322,0.85055,0.79973,0.87581,0.64001,0.95357,1.1357,1.04615,0.00154323,0.00154323,0.00154323
8,99.5158,0.8811,0.74009,1.03164,0.85059,0.82719,0.88455,0.64758,0.96351,0.87068,1.06436,0.0015226,0.0015226,0.0015226
9,111.481,0.8451,0.71861,1.00963,0.83545,0.82266,0.86396,0.64928,0.92224,0.87475,1.02068,0.00150197,0.00150197,0.00150197
10,123.64,0.86022,0.70668,1.02519,0.89907,0.82174,0.90526,0.68825,0.88907,0.76226,1.01111,0.00148134,0.00148134,0.00148134
11,134.911,0.86422,0.69834,1.01998,0.87707,0.79801,0.86591,0.64749,0.93658,0.79665,1.05871,0.00146071,0.00146071,0.00146071
12,146.158,0.87033,0.68914,1.02231,0.89823,0.86063,0.91826,0.70204,0.85874,0.69531,0.99923,0.00144008,0.00144008,0.00144008
13,158.066,0.83673,0.65618,1.01001,0.91632,0.85935,0.93149,0.72571,0.84862,0.72652,0.97923,0.00141945,0.00141945,0.00141945
14,170.181,0.84584,0.65191,1.01602,0.91374,0.86086,0.93443,0.73603,0.79505,0.64103,0.96886,0.00139882,0.00139882,0.00139882
15,181.07,0.81672,0.63762,1.01237,0.90589,0.86136,0.92304,0.72005,0.81901,0.66909,0.97198,0.00137819,0.00137819,0.00137819
16,192.653,0.79974,0.59876,0.9872,0.92329,0.88451,0.94096,0.73885,0.80122,0.60373,0.96876,0.00135756,0.00135756,0.00135756
17,205.15,0.82491,0.61243,1.00167,0.89977,0.79289,0.88887,0.66138,0.89332,0.73248,1.0107,0.00133693,0.00133693,0.00133693
18,218.057,0.83588,0.60413,1.01171,0.91867,0.87518,0.93642,0.73239,0.8263,0.61759,0.98747,0.0013163,0.0013163,0.0013163
19,231.021,0.81451,0.60329,1.00609,0.92552,0.85698,0.92536,0.72055,0.8315,0.63141,0.98158,0.00129568,0.00129568,0.00129568
20,242.929,0.80221,0.58689,0.98995,0.91977,0.88552,0.94431,0.69153,0.95823,0.6226,1.02653,0.00127505,0.00127505,0.00127505
21,254.895,0.80351,0.57438,0.99647,0.92385,0.89103,0.94165,0.73884,0.80505,0.60095,0.96752,0.00125442,0.00125442,0.00125442
22,267.446,0.77307,0.54914,0.98326,0.91741,0.90093,0.94474,0.74648,0.81399,0.56403,0.977,0.00123379,0.00123379,0.00123379
23,280.314,0.7728,0.5527,0.98399,0.9431,0.86982,0.94239,0.7297,0.84976,0.62418,0.97518,0.00121316,0.00121316,0.00121316
24,292.229,0.79155,0.57077,0.98988,0.95515,0.87241,0.93914,0.74349,0.79571,0.54636,0.9644,0.00119253,0.00119253,0.00119253
25,302.841,0.75803,0.54997,0.97672,0.93277,0.89148,0.93894,0.73362,0.7996,0.5623,0.9672,0.0011719,0.0011719,0.0011719
26,314.827,0.78296,0.5568,0.98296,0.92595,0.89723,0.94241,0.73917,0.83075,0.52168,0.98245,0.00115127,0.00115127,0.00115127
27,327.401,0.77,0.54984,0.98506,0.93002,0.88975,0.94098,0.75086,0.78834,0.52432,0.95357,0.00113064,0.00113064,0.00113064
28,339.584,0.75742,0.53203,0.97362,0.91992,0.90117,0.94204,0.74278,0.81972,0.53476,0.98664,0.00111001,0.00111001,0.00111001
29,351.272,0.7639,0.54797,0.97851,0.91575,0.91705,0.95125,0.74173,0.85079,0.51872,0.98453,0.00108938,0.00108938,0.00108938
30,362.925,0.75935,0.53091,0.97896,0.94123,0.89908,0.95002,0.75325,0.78691,0.55131,0.96016,0.00106876,0.00106876,0.00106876
31,375.132,0.74776,0.50984,0.96354,0.92631,0.90618,0.94831,0.75482,0.77413,0.51128,0.95528,0.00104813,0.00104813,0.00104813
32,386.981,0.7449,0.50617,0.95975,0.93562,0.8846,0.93995,0.74462,0.80866,0.52156,0.97039,0.0010275,0.0010275,0.0010275
33,399.269,0.73877,0.49804,0.97676,0.91905,0.90515,0.94417,0.74574,0.80915,0.53425,0.96935,0.00100687,0.00100687,0.00100687
34,409.29,0.74421,0.50289,0.9662,0.94542,0.89406,0.94942,0.75873,0.76926,0.49252,0.95366,0.000986239,0.000986239,0.000986239
35,422.041,0.72951,0.49418,0.95744,0.94079,0.90248,0.95235,0.77302,0.72815,0.49036,0.93714,0.00096561,0.00096561,0.00096561
36,434.302,0.72294,0.48293,0.96144,0.9508,0.89469,0.94757,0.76612,0.76054,0.51667,0.93919,0.000944981,0.000944981,0.000944981
37,446.034,0.7258,0.48668,0.96079,0.9543,0.89312,0.95368,0.77257,0.73379,0.4919,0.91972,0.000924352,0.000924352,0.000924352
38,457.541,0.74068,0.49414,0.96162,0.93553,0.89699,0.94795,0.76816,0.72383,0.48379,0.92913,0.000903722,0.000903722,0.000903722
39,468.859,0.71776,0.49467,0.95681,0.94961,0.89319,0.94856,0.76019,0.74982,0.47532,0.93771,0.000883093,0.000883093,0.000883093
40,481.097,0.71852,0.47797,0.95665,0.94066,0.91731,0.94979,0.76842,0.72912,0.47751,0.92443,0.000862464,0.000862464,0.000862464
41,493.254,0.69922,0.46401,0.94838,0.93396,0.91338,0.95331,0.77462,0.75456,0.47909,0.93482,0.000841835,0.000841835,0.000841835
42,505.822,0.71454,0.47828,0.9586,0.91813,0.90614,0.94903,0.7616,0.74414,0.48614,0.93916,0.000821206,0.000821206,0.000821206
43,516.779,0.70932,0.46714,0.94959,0.92963,0.90624,0.94744,0.76969,0.734,0.46866,0.94076,0.000800577,0.000800577,0.000800577
44,528.35,0.72443,0.48823,0.95594,0.94948,0.89857,0.95306,0.76976,0.73016,0.46657,0.94185,0.000779948,0.000779948,0.000779948
45,540.839,0.72005,0.47057,0.95748,0.93656,0.91224,0.95259,0.77382,0.74742,0.45389,0.94488,0.000759318,0.000759318,0.000759318
46,553.268,0.69039,0.4494,0.94191,0.9415,0.91199,0.95497,0.77824,0.72287,0.44078,0.9251,0.000738689,0.000738689,0.000738689
47,564.46,0.68549,0.44415,0.94763,0.94138,0.91455,0.94974,0.77227,0.72576,0.44795,0.93857,0.00071806,0.00071806,0.00071806
48,575.746,0.68957,0.44958,0.94296,0.93731,0.90422,0.94582,0.76865,0.74566,0.48696,0.94797,0.000697431,0.000697431,0.000697431
